seas_id,season,player_id,player,birth_year,pos,age,experience,lg,tm,g,gs,mp_per_game,fg_per_game,fga_per_game,fg_percent,x3p_per_game,x3pa_per_game,x3p_percent,x2p_per_game,x2pa_per_game,x2p_percent,e_fg_percent,ft_per_game,fta_per_game,ft_percent,orb_per_game,drb_per_game,trb_per_game,ast_per_game,stl_per_game,blk_per_game,tov_per_game,pf_per_game,pts_per_game
32270.0,2025,4032.0,Kawhi Leonard,,SF,33.0,13.0,NBA,LAC,31,31.0,31.1,8.0,16.3,0.488,2.0,5.1,0.392,6.0,11.2,0.532,0.549,2.6,3.2,0.8,1.0,4.9,5.8,3.0,1.5,0.5,2.0,1.5,20.5
32271.0,2025,5264.0,Keaton Wallace,,PG,25.0,1.0,NBA,ATL,28,4.0,16.2,2.0,4.9,0.413,0.9,2.6,0.356,1.1,2.3,0.477,0.507,0.4,0.4,1.0,0.3,1.1,1.4,2.2,0.8,0.3,1.0,1.3,5.4
32272.0,2025,5072.0,Keegan Murray,,PF,24.0,3.0,NBA,SAC,72,72.0,34.7,4.8,10.8,0.447,2.1,5.9,0.349,2.8,5.0,0.563,0.542,0.8,1.0,0.829,2.0,4.8,6.7,1.4,0.8,0.9,0.8,2.6,12.6
32273.0,2025,5265.0,Keion Brooks Jr.,,SF,24.0,1.0,NBA,NOP,7,1.0,17.4,2.9,5.3,0.541,0.9,2.0,0.429,2.0,3.3,0.609,0.622,0.7,1.1,0.625,0.6,2.6,3.1,1.0,0.4,0.9,0.7,1.9,7.3
32274.0,2025,5266.0,Kel'el Ware,,C,20.0,1.0,NBA,MIA,57,29.0,21.6,3.9,6.9,0.562,0.6,1.8,0.317,3.3,5.2,0.646,0.603,0.7,1.0,0.691,1.7,5.5,7.2,0.9,0.6,1.1,1.0,1.7,9.0
32275.0,2025,4746.0,Keldon Johnson,,SF,25.0,6.0,NBA,SAS,71,0.0,23.9,4.8,9.9,0.484,1.2,3.6,0.331,3.6,6.3,0.57,0.543,2.0,2.6,0.781,1.4,3.2,4.7,1.6,0.7,0.3,0.9,1.5,12.8
32276.0,2025,4177.0,Kelly Olynyk,,C,33.0,12.0,NBA,TOT,41,19.0,20.0,3.0,6.0,0.504,0.8,1.8,0.413,2.3,4.2,0.543,0.567,1.7,2.2,0.789,1.4,3.4,4.8,2.9,0.8,0.4,1.8,2.8,8.6
32277.0,2025,4177.0,Kelly Olynyk,,C,33.0,12.0,NBA,TOR,24,2.0,16.0,2.5,4.9,0.5,0.8,1.8,0.442,1.7,3.1,0.533,0.581,1.4,1.8,0.791,1.0,2.7,3.7,2.3,0.7,0.3,1.5,2.5,7.1
32278.0,2025,4177.0,Kelly Olynyk,,C,33.0,12.0,NBA,NOP,17,17.0,25.8,3.9,7.6,0.508,0.7,1.9,0.375,3.2,5.8,0.551,0.554,2.2,2.8,0.787,1.9,4.5,6.4,3.8,0.9,0.5,2.2,3.3,10.6
32279.0,2025,4341.0,Kelly Oubre Jr.,,SF,29.0,10.0,NBA,PHI,60,57.0,34.6,5.8,12.4,0.47,1.2,4.0,0.293,4.6,8.3,0.555,0.518,2.3,3.1,0.751,1.6,4.5,6.1,1.8,1.5,0.5,1.3,3.0,15.1
32280.0,2025,4646.0,Kenrich Williams,,PF,30.0,7.0,NBA,OKC,62,5.0,15.8,2.3,4.8,0.486,1.0,2.4,0.405,1.4,2.4,0.568,0.588,0.4,0.5,0.806,0.9,2.5,3.4,1.4,0.6,0.1,0.5,1.6,6.0
32281.0,2025,4178.0,Kentavious Caldwell-Pope,,SG,31.0,12.0,NBA,ORL,72,72.0,30.1,3.1,7.2,0.43,1.4,4.3,0.33,1.7,2.9,0.58,0.529,1.0,1.2,0.86,0.5,1.8,2.2,1.7,1.3,0.5,0.8,1.9,8.6
32282.0,2025,5076.0,Keon Ellis,,SG,25.0,3.0,NBA,SAC,73,21.0,23.7,2.8,5.8,0.488,1.7,4.0,0.436,1.1,1.8,0.6,0.637,1.0,1.2,0.845,0.7,1.8,2.6,1.5,1.5,0.7,0.9,2.2,8.4
